@relation steam_transactions

@attribute steamid string
@attribute apps string

@data
"7.656119796280506e+16","{38210}"
"7.656119796281722e+16","{34920}"
"7.656119796282088e+16","{19200}"
"7.656119796282394e+16","{3204650}"
"7.656119796282661e+16","{2882280}"
"7.656119796283685e+16","{282590}"
"7.656119796283808e+16","{284460}"
"7.65611979628485e+16","{329110}"
"7.656119796287648e+16","{2996040}"
"7.656119796288965e+16","{2693120}"
"7.656119796289184e+16","{32340}"
"7.656119796290214e+16","{2836010}"
"7.656119796290643e+16","{2707490}"
"7.65611979629075e+16","{9340}"
"7.656119796292464e+16","{3359310}"
"7.656119796292947e+16","{12530}"
"7.656119796295672e+16","{3156770}"
"7.656119796295878e+16","{2996040}"
"7.656119796296803e+16","{333640}"
"7.656119796297603e+16","{35600}"
"7.656119796301078e+16","{270880}"
"7.656119796302165e+16","{3143100}"
"7.656119796307394e+16","{2898900}"
"7.65611979630774e+16","{342970}"
"7.65611979630791e+16","{310110}"
"7.656119796308302e+16","{290060}"
"7.656119796308661e+16","{330620}"
"7.656119796309354e+16","{3099000}"
"7.65611979630939e+16","{3292260}"
"7.656119796311304e+16","{38210}"
"7.656119796313742e+16","{341890}"
"7.656119796313814e+16","{3244220}"
"7.656119796316405e+16","{277560,297490,326180}"
"7.656119796316688e+16","{227300}"
"7.656119796320936e+16","{2971610}"
"7.6561197963221e+16","{3191050}"
"7.656119796324066e+16","{330470}"
"7.656119796324774e+16","{339740}"
"7.656119796326258e+16","{333930}"
"7.656119796326571e+16","{17080,293260}"
"7.656119796326914e+16","{318260}"
"7.656119796328034e+16","{295870,315830}"
"7.656119796329626e+16","{2720}"
"7.656119796331395e+16","{42500}"
"7.656119796335115e+16","{3137740}"
"7.656119796335232e+16","{305760}"
"7.65611979633564e+16","{337630}"
"7.656119796337075e+16","{7760}"
"7.656119796337328e+16","{335430}"
"7.656119796337352e+16","{2280}"
"7.656119796337523e+16","{46360}"
"7.656119796337706e+16","{292670}"
"7.656119796340227e+16","{297720}"
"7.656119796343691e+16","{277850}"
"7.656119796344786e+16","{2692800,2728950,2946040,3214780}"
"7.65611979634495e+16","{349280}"
"7.656119796348957e+16","{2892130}"
"7.656119796349571e+16","{269210}"
"7.656119796349987e+16","{341730}"
"7.656119796350112e+16","{92800}"
"7.656119796350936e+16","{2849080}"
"7.656119796354397e+16","{335670}"
"7.656119796355051e+16","{299340}"
"7.65611979635513e+16","{62100}"
"7.656119796356322e+16","{3213960}"
"7.656119796358096e+16","{17410}"
"7.656119796358152e+16","{2888870}"
"7.656119796359018e+16","{2841950,2922410}"
"7.656119796360027e+16","{305760}"
"7.656119796360238e+16","{46400}"
"7.656119796360675e+16","{297210}"
"7.656119796361338e+16","{2750000}"
"7.656119796361646e+16","{9420}"
"7.656119796362066e+16","{58550}"
"7.656119796362507e+16","{312200}"
