steamid,app_id
76561197960785683,"[1769510, 2330300]"
76561197960785900,[482400]
76561197960789222,[339400]
76561197960789495,[2859330]
76561197960789619,[2501600]
76561197960791334,[1198050]
76561197960791508,[510290]
76561197960793092,[977570]
76561197960794337,[294830]
76561197960794596,[1479140]
76561197960796067,[452320]
76561197960797151,[365730]
76561197960797701,[408030]
76561197960798369,[523090]
76561197960798863,[1217060]
76561197960800042,[9880]
76561197960800401,[2273430]
76561197960800649,[1995520]
76561197960802490,"[2922410, 1568030, 2172120]"
76561197960807589,[2220480]
76561197960809443,[316370]
76561197960809647,[2069410]
76561197960809695,[251950]
76561197960812852,"[2750000, 2207490, 2321470]"
76561197960813742,[477900]
76561197960820202,[4780]
76561197960821348,[1822060]
76561197960822565,[3361470]
76561197960823415,[1384820]
76561197960825172,[2104310]
76561197960826128,[347260]
76561197960826218,[1304930]
76561197960828497,"[2887660, 2020790, 2433710]"
76561197960830183,[719200]
76561197960830998,"[407900, 422860, 427240, 511570, 702030]"
76561197960832638,[1155790]
76561197960833702,[2195410]
76561197960834458,[6600]
76561197960834689,[331190]
76561197960839387,[2438680]
76561197960847419,[316020]
76561197960851385,[1964310]
76561197960852280,[1248420]
76561197960853919,[3177050]
76561197960855019,"[457010, 954870, 1147020]"
76561197960856524,[1946300]
76561197960857334,[1814010]
76561197960858954,[1367590]
76561197960859432,[2088770]
76561197960860827,[1582650]
76561197960861120,[723350]
76561197960861540,[1283000]
76561197960862257,[422860]
76561197960863289,[423320]
76561197960864303,[2211170]
76561197960864845,[595420]
76561197960864972,[1231880]
76561197960865159,[1213550]
76561197960865856,[658470]
76561197960867094,[2174690]
76561197960868862,[1517770]
76561197960869016,[273590]
76561197960870923,[10230]
76561197960872127,[731950]
76561197960872519,[1289750]
76561197960872561,[1778820]
76561197960873883,[590380]
76561197960875689,[2158130]
76561197960875848,[432950]
76561197960877435,[2545360]
76561197960878967,[704640]
76561197960879565,[2437170]
76561197960881875,[435250]
76561197960882260,[3311740]
76561197960882402,[1376580]
76561197960882637,[111400]
76561197960884453,[328510]
76561197960889208,[2131350]
76561197960894671,[2366970]
76561197960896539,[921570]
76561197960899462,[692890]
76561197960901566,[1385680]
76561197960902436,[1758370]
76561197960904553,[390330]
76561197960906047,[350600]
76561197960911389,[2020750]
76561197960911514,"[396680, 1871620]"
76561197960911745,[985890]
76561197960912243,[436490]
76561197960912290,"[632360, 1190970]"
76561197960915401,[1500980]
76561197960915993,[322900]
76561197960919090,[1737600]
76561197960919323,[1043150]
76561197960922491,[201070]
76561197960924189,[438480]
76561197960926563,"[575970, 677620]"
76561197960926853,"[3050220, 362810]"
76561197960932033,[1497440]
76561197960936473,[504770]
76561197960936936,[1262460]
76561197960937216,[17740]
76561197960937223,[2069260]
76561197960937700,[446240]
76561197960941322,"[1565500, 1735010, 1919920, 2130440]"
76561197960942778,[2906890]
76561197960942939,[899770]
76561197960943190,[438300]
76561197960944326,[1509670]
76561197960944661,[109200]
76561197960946871,[2073250]
76561197960948103,"[1885110, 2084000]"
76561197960948341,[275290]
76561197960949026,[457960]
76561197960949114,[2026820]
76561197960950871,[503370]
76561197960952909,[1975520]
76561197960953632,"[378260, 391250]"
76561197960954796,[1203710]
76561197960956246,"[610960, 2516220]"
76561197960957360,[704760]
76561197960957767,[982290]
76561197960958967,[1517120]
76561197960959524,[623570]
76561197960965990,[1003020]
76561197960966065,[418150]
76561197960975463,[516570]
76561197960980391,[431700]
76561197960980678,[629030]
76561197960986090,"[566780, 929170, 929180]"
76561197960988751,[951370]
76561197960999200,[627690]
76561197960999276,[202410]
76561197961002902,"[922920, 1912750]"
76561197961007970,[1187250]
76561197961016971,[923710]
76561197961017206,[552500]
76561197961017729,"[340450, 439260, 455230, 457770, 470490, 490040, 495830, 522710, 523720, 544130, 563130, 566580, 578660, 591660, 597590, 602630, 614160, 623040, 629410, 643610, 672020, 672160, 677040, 677190, 691570, 696760, 698910, 700620, 708370, 722350, 1322270, 1575730]"
76561197961018749,[2485080]
76561197961020033,[46520]
76561197961021747,[2420]
76561197961021904,[2237070]
76561197961022699,[779340]
76561197961022810,[1782050]
76561197961024197,[646280]
76561197961025630,[1220140]
76561197961027324,[520860]
76561197961029759,[597230]
76561197961030376,[2442460]
76561197961030598,[565670]
76561197961032258,[727100]
76561197961033314,[1324780]
76561197961034249,[351030]
76561197961034455,[1473060]
76561197961034778,[919360]
76561197961035285,[394760]
76561197961036473,"[955410, 1013280]"
76561197961036997,[1027650]
76561197961037051,[609320]
76561197961038037,[271570]
76561197961038549,"[392020, 454350]"
76561197961040697,[425670]
76561197961041406,[686810]
76561197961044913,[473910]
76561197961045273,[513710]
76561197961046376,[313080]
76561197961053356,[693670]
76561197961054769,"[371510, 451630]"
76561197961063014,"[498500, 657000, 743830, 1228870]"
76561197961063493,[2353250]
76561197961064637,[1554650]
76561197961065295,[1096900]
76561197961065690,[1967310]
76561197961066179,[1212300]
76561197961066474,[2335220]
76561197961068319,[1202070]
76561197961068342,[360730]
76561197961068968,[2186680]
76561197961077124,[517810]
76561197961077965,[494960]
76561197961078912,[604920]
76561197961079882,[1746560]
76561197961081627,[1257910]
76561197961085149,[1577050]
76561197961088028,[1548850]
